,Valoracion,Texto
10,-2,"Este paper involucra el desarrollo de una aplicación que simule el protocolo BB84, se aprecia un trabajo ordenado y sin duda la comprensión de algunos conceptos de la física cuántica que sustentan la criptografía cuántica como son el teorema de no-clonación y el principio de superposición y entrelazamiento es una labor que tiene sus méritos, además, se aprecia el uso de ingeniería de software en la construcción de la aplicación, lo cual es un aspecto muy positivo, pues generalmente cuando hay involucrado creación de software en áreas de conocimiento de frontera, se recurre al code-and-fix, con todas las desventajas que esto conlleva.  Yo creo que este manuscrito debería ser dirigido al área de criptografía y seguridad, en mi especialidad que es la computación en ambientes distribuidos no veo significativa relevancia y aporte del manuscrito, usar RMI según mi opinión no es una contribución per se, pues  RMI es fácil de usar si se maneja JAVA, sin embargo, no es interoperable ya que no soporta otros lenguajes de programación, además, los sistema basados en RMI a medida que crecen tienen un problema de rendimiento, mientras más crecen más lentos se tornan, por otro lado, según algunos puristas un sistema cliente/servidor no es un sistema distribuido, según otros el caso cliente/servidor es el caso más básico de computación distribuida, en fin, hablando estrictamente desde el área de computación distribuida no veo relevancia en esta área de este manuscrito, sin embargo, me parece que en otra área el paper podría ser pertinente, ya que es un trabajo ordenado, claro y bien escrito.  Yo no soy experto en el área de criptografía, pero hace unos años atrás en una oportunidad escuche en un seminario a un inglés hablar de criptografía cuántica y menciono una gran cantidad de simuladores y aplicaciones, incluso dijo tener aplicaciones que ya utilizaban criptografía cuántica entre varios kilómetros por medio de fibra óptica, entonces creo que lo mejor es evaluar este manuscrito en esa área y no en el área de grid/sistemas distribuidos, pues en esta área el paper según mi opinión no tiene aspectos originales, ya que usa aspectos triviales de los principios cliente/servidor.  Como ya lo he dicho anteriormente, el paper tiene más asuntos de física cuántica y criptografía que de computación distribuida, por lo cual abstrayéndome al área que me compete, veo el uso de una tecnología de ambiente distribuido usada como cliente/servidor, no interoperable y con restricciones de escalabilidad. Un aspecto positivo en el paper es que se aprecia el uso de ingeniería de software.  En lo que respecta al área de grid computing y sistemas distribuidos, el manuscrito no contiene aspectos relevantes, utiliza RMI para implementar un sistema cliente/servidor, sin obstante, RMI es fácil de usar y como buen paradigma conocido en computación, performance se contrapone con facilidad de usar, RMI no escapa a eso, porque es fácil de usar, pero no tiene escalabilidad.  El documento está bien presentado, quizás la tabla 2 y tabla 3 sería mejor fusionarlas utilizando filas como computador y en las columnas los detalles de la red, sobre todo si más que un esquema cliente/servidor se tiene por ejemplo, un anillo de distribución de claves cuánticas, con más de 2 computadores involucrados. Creo que presentado al área de criptografía y seguridad sería más pertinente."
11,2,"Novedosa propuesta. Bien estructurada. Correctamente escrita. Sólo sugiero: Explicar con más detalle la función trapezoidal de la página 2. Redactar nuevamente  el  párrafo  anterior a la función trapezoidal A(x). Agrandar el esquema de la figura 1. Explicar la arquitectura propuesta mostrada en la figura 2. Revisar referencia de Feng et al. que es la referencia 2 y en un párrafo de la columna 2 página 1 está marcada como referencia 1.  Artículo no está en el formato pedido por Infonor, por favor cambiar a éste formato."
12,2,"El tema es interesante y está bien estructurado en lo que se refiere a diseño de la propuesta.  El tema trata de un enfoque para la mejora, sin embargo solo establece una propuesta de arquitectura, centrándose en el diseño, y no indica cómo se evaluará o medirá esta mejora para los SDW, se recomienda agregar métricas u otros aspectos para ello. No entrega muchos detalles, se recomienda aumentar el nro. de páginas para sí mejorar este aspecto. No hay muchas referencias bibliográficas a trabajos o esfuerzos relacionados sobre el tema."
13,2,"De alto perfil técnico, es un aporte a la temática.  Demasiado conciso, podría extenderse en el cómo (sobretodo desde el aporte fuzzy)."
14,-1,"- Propuesta innovadora de aplicación de una metodología de ingeniería industrial, al campo de ingeniería de requisitos.  - No presenta unificación de términos a lo largo del documento, relacionado con la fase de ingeniería de requisitos: ‘educción’, ‘elicitación'... Debe utilizarse siempre el mismo término. - No se evidencia cómo se cuantifica las ‘mejoras’ graduales del proceso de educción, y la ‘mejoría’ en la calidad de la documentación.. cómo miden esa mejora?? - Hay errores de redacción y ortográficos, particularmente en el uso del acento (tildes) y de signos de puntuación (uso de la coma y punto y coma).  El artículo propone la utilización de una filosofía de trabajo de otra área de ingeniería, para mejorar los niveles de calidad de los documentos de requisitos generados en un proceso de educción de requisitos.  Considero que desde el punto de vista técnico sería importante que sustentaran el análisis de resultados que plantean en una medición o comparación cuantificada, que permita por medio de un método más formal que el descriptivo generar las conclusiones de 'mejora' en la calidad de los productos asociados al proceso de ingeniería de requisitos.  No se evidencia cómo llegan a las conclusiones generadas, en qué se basan para decir que es mejor o no, en que tiene menos errores o no ??  Es una propuesta interesante que puede ser aplicado en casos reales de procesos de ingeniería de requisitos. Actualmente aporta a disminuir la crisis asociada a esta fase de desarrollo de productos software.  La organización del documento se puede mejorar considerablemente. Considero que dedican gran parte del artículo a expresar el marco conceptual asociado, y menos a la aplicación de la técnica en el caso de estudio y al análisis de resultados, apartados en los que se puede sustentar más la propuesta presentada. Así mismo, hay errores ortográficos y de redacción que, si se evitan, pueden darle mayor valor a la presentación del artículo."
15,-2,"Trata de aplicar una nueva estrategia a la gestión de requerimientos  No se respalda ni considera la aplicabilidad de técnicas propias de procesos de manufactura a procesos de software. Si bien es cierto hay autores como Demming que plantean que es posible hacerlo, existen otros autores como Sommerville que plantean que por las características propias del desarrollo de software, las técnicas de procesos de manufactura no son aplicables al software. Los autores de este artículo no entregan respaldo en relación a la validez de este aspecto. El artículo comienza planteando que la propuesta es para mejorar la educción de requerimientos, sin embargo, luego se deriva en que lo que se mejora es la generación de la SRS. La educción y la generación del documento de requerimientos son aspectos distintos. En el caso de experimentación que se presenta, no se ve por ninguna parte que se solucionen problemas ni en la educción, ni en la generación de la SRS, son más bien problemas de la implementación. Los errores detectados son aspectos básicos que cualquier programador con un mínimo de experiencia sabe cómo solucionarlos, sin necesidad que en la SRS se explicite el tipo de validaciones mínimas que se debe realizar como parte de las pruebas del sistema. La propuesta carece de guías prácticas que ayuden en su aplicación ¿cómo se deben realizar estas revisiones POKA-YOKE? ¿En qué aspectos hay que fijarse? ¿Existen artefactos que guíen la revisión? Hay errores de edición en el texto (palabras repetidas) Existen problemas de ortografía (acentuación de palabras)"
16,1,"Buena práctica para garantizar calidad en la educción de requisitos  - El resumen está mal redactado, no debería haber explicaciones teóricas - La traducción del resumen es pésima - El artículo no está escrito en tercera persona - La Sección POKA YOKE debería ir antes de la sección VARIABILIDAD DE LOS REQUISITOS Y COSTO DE CALIDAD. - Hay varios errores de ortografía"
17,-2,"El artículo detalla una propuesta de gestión de requisitos basada en KAIZEN. Los autores describen diferentes métodos y técnicas para complementar Kaizen  Entiendo que el principal aporte de este trabajo es, según los autores, complementar y mejorar Kaizen para elicitación y gestión de requisitos. Sin embargo, los autores del artículo presentan únicamente una construcción teórica de su propuesta.  Entiendo que al artículo le falta trabajo por desarrollar, con el fin de validar la propuesta. Sin embargo al ser un artículo que desarrollan seis investigadores, considero que debe incluir aspectos más aplicativos de la propuesta."
18,2,"Interesante trabajo.  si bien el documento muestra una propuesta, sería interesante mostrar aplicaciones."
19,1,"The paper describes an experience concerning the automated inspection of spectra for the Pipeline Hubble Legacy Archive Grism data.  Comments:  In the conclusions the authors say that ""We have identified two classes of flawed spectra which were not picked up by the automatic classification because of their very small number of training samples. Per construction machine learning techniques can not classify such outliers."" This sentence should be further explained. As Hastie, Tibshirani, and Friedman say in The Elements of Statistical Learning (see Chapter 7): ""it is too difficult to give a general rule on how much training data is enough; among other things, this depends on the signal-to-noise ratio of the underlying function, and the complexity of the models being fit to the data. "" So, by just saying that the number of training samples is small you do not provide enough information to decide whether machine learning techniques are adequate or not to solve a problem.  Other minor comments:  + If reference [2] has not yet been written or published it should be deleted from the paper.  The dataset may be of scientific importance.  It is mainly descriptive."
20,2,"This manuscript addresses an interesting solution based in machine learning techniques to classify spectra legacy data of the Hubble Space Telescope in order to publish the results and ""good"" spectra in Internet to scientific community. The manuscript is well-written and results are robust. Experiment is sound and the manuscript seems acceptable in the current form. The work can be short, but very interesting to the Infonor and JCC community.  The main problem of the paper is that it is difficult to compare results for the classifiers utilized. A confusion matrix and parameters for each classifier could clarify results."
21,1,"Interesting application domain.  Nothing new from a machine learning perspective. They authors should provide more information about the models they have obtained with the different classifiers (feature subset selection used, selected features, accuracies, statistical significance on the differences on accuracies, the models themselves, ...). Semi-supervised classification is the appropriate method for the last paragraph in the ""Methodology"" section."
22,2,"Este paper presenta una herramienta (SAVE) para la verificación de arquitectura de software. SAVE realiza un chequeo estático de reglas asociadas a dependencias permitidas y prohibidas entre elementos del diseño y del código, y permite entregar un reporte sobre la consistencia entre ambos niveles respecto a dichas reglas.  En general la herramienta parece bastante poderosa por dos motivos: el uso de reglas sencillas y la inclusión de sets de reglas pre-definidas para patrones de diseño de amplia utilización. Esto, a mi juicio, es la diferencia más importante con otros frameworks similares.  La redacción es, en algunos lugares, poco objetiva. En particular sugeriría evitar el uso excesivo de adjetivos para los cuales no se provee de evidencia que los soporte. Por ejemplo, en varios lugares noté el uso de ""poderosa herramienta"", ""herramienta intuitiva"" o similares (no solamente referidos a SAVE, sino a otros trabajos). En todos esos casos, no se provee en forma explícita una evidencia que soporte el uso de dichos adjetivos.  Otro detalle que requiere arreglo es el título que aparece en el archivo PDF: ""Predicción de la dinámica del comportamiento..."", el cual no coincide con el título del paper. Probablemente los autores utilizaron una plantilla de un paper anterior con dicho título."
23,1,"La verificación de la arquitectura de un producto software puede ser una gran contribución a la calidad del mismo, por lo cual, cualquier herramienta que facilite esta labor es un aporte a la ingeniería de software. Presentan evidencias de una revisión previa de métodos y herramientas alternativas o complementarias a la propuesta. Las descripciones presentadas se acompañan de ejemplos aclaratorios.  No queda claro el rol e interacción del experto del dominio. En las secciones iniciales dice que la herramienta realiza análisis estático y dinámico, sin embargo al final del artículo, en la identificación de posibles mejoras de SAVE se propone incluir el análisis dinámico, lo que se contradice con la afirmación inicial. La descripción del funcionamiento de la herramienta no está lo suficientemente claro. La calidad de la figuras no es adecuada, por el tamaño y resolución de las mismas no es posible apreciar bien los detalles. La redacción de artículo puede ser mejorada. Hay varias frases en donde faltan conectores, por ejemplo ""En el presente apartado, veremos S.A.V.E. logra recuperar las dependencias existentes en el código fuente...."" Muchos errores en la acentuación de las palabras."
24,2,"Novedosa propuesta, muy valorable la vinculación de personas del ámbito empresarial lo que permite que la teoría y propuestas para ingeniería de software puedan ser probadas en ambientes reales. Bien estructurado y muy bien redactado.  Solo sugiero esquematizar las actividadesde aplicación de entrenamiento White Belt IR - SixSigma y revisar pequeños detalles de redacción."
25,2,Buena práctica para mejor la calidad en la ingeniería de requisitos  - En el resumen no debería haber teoría - Debería haber un caso de estudio para ver mejor la aplicación de la metodología
26,2,Interesante propuesta en un ambiente de desarrollo de software que es bastante pobre en aspectos metodológicos de desarrollo.  Falta un poco de trabajo relacionado o quizás discutirlo mejor en la introducción con referencias para fundamentar la interesante propuesta. Revisar redacción. No está en formato pedido por Infonor. Se sugiere no agregar links de páginas web en el texto del artículo.
27,2,"Los autores han diseñado una metodología para desarrollar software de apoyo a proyectos de investigación científica. Identifican con bastante precisión las diferencias entre el desarrollo de software de investigación y software con fines comerciales. Asimismo, proponen una metodología siguiendo un enfoque de métodos ágiles de desarrollo de software.  La propuesta se encuentra en una fase de diseño, ha sido elaborada a partir de entrevistas a potenciales usuarios y es susceptible de ser probada en investigaciones futuras.  En mi opinión, en el artículo hace falta un apartado que dé cuenta de la metodología que los autores siguieron para llegar a la propuesta. Se hace referencia a entrevistas a: ""participantes en este tipo de proyectos"", no obstante, no se informa  cuántas personas fueron consultadas, cómo se seleccionó a los entrevistados, qué instrumentos se aplicaron y cómo se analizaron los datos."
28,-1,"Considero, antes que nada, que el ámbito de desarrollo de la temática (desarrollo de software en ambientes de investigación...) no ""otorga permiso"" para realizar este desarrollo en forma más informal (tiempos, relajos en versiones, escasa documentación, etc.). 2º, no veo porque se plantea sólo SCRUM, sin hacer comparaciones básicas con los otros exponentes ""clásicos"" de metodologías ágiles (XP y FDD), lo cual le otorga una cierta ""liviandad"" al análisis inicial de parte de los autores (sin duda se podría ahondar un poco más, sobretodo con XP)."
29,2,"Es un artículo que presenta un tema novedoso en el área de la Ingeniería de Software. El artículo está muy bien documentado y fundamentado. Las tecnologías utilizadas en el desarrollo del prototipo son de interés actual.  Como lo describe el artículo, se trata de un primer paso en una línea de investigación y del desarrollo de un prototipo de una aplicación meta-case. Queda es este sentido, poco clara cual es el nivel de madurez actual, tanto de la investigación como de la aplicación desarrollada."
30,2,"This paper presents a software tool that is useful in the context of software engineering. The authors do a good job describing the technical details of the tool. However, there is little information about the novel aspects of the proposed tool, How the proposal compares to other existing tools (if any)?"
31,2,"Un trabajo muy claro, preciso y del alto nivel"
32,2,"El artículo presenta el diseño de un prototipo que implementa un sistema para la adquisición de datos mediante dispositivos móviles inalámbricos, aplicado a la minería, específicamente en la monitorización de material particulado. Resulta interesante la aplicación de la tecnología móvil a un problema concreto de la industria minera chilena, además el artículo describe de forma muy clara la problemática y el prototipo propuesto.  El artículo resulta novedoso ya que se plantea el uso de la computación (procesamiento de de datos) y de las tecnologías de dispositivos móviles aplicadas a un problema concreto de la industria minera chilena.  El problema, la tecnología presentada (BUG) y el prototipo propuesto están descritos de forma clara.  Resulta relevante la aplicación  de tecnologías computacionales móviles actuales en sectores industriales importantes del país.  El título principal y el resumen deben estar escritos en español y en inglés (sólo vienen en español). Además, el artículo presenta una lista de 29 referencias, pero sólo hace referencia  a una (la primera de la lista). Incluso aparece en las Referencias PCFactory, y no queda muy  claro el porqué."
33,2,Considera el uso de tecnologías móviles para incorporar en la medición de material particulado que existe en el interior de una mina. Será interesante ver las ventajas y desventajas de esta aplicación con otras existentes.  Es un estudio solamente. Todavía no hay resultados.
34,-1,"Se aprecia un trabajo extenso que se valora, sin embargo se observan varias inconsistencias a lo largo del trabajo.  Se observa en la página 4 figura 1 la indicación de un modelo conceptual siendo este del tipo copo de nieve, sin embargo lo correcto sería indicar que es un esquema de diseño lógico y no de diseño conceptual de DW. Además un esquema conceptual correcto no debe indicar el tipo de dato. También en este aspecto se hace referencia a una bibliografía de esquema estrella. Faltó investigación sobre modelos conceptuales para DW para evitar lo anterior.  Mucha redundancia en problemas técnicos que no deberían ser de importancia para el artículo.  Se habla de inteligencia de negocios pero en un sentido estricto si se aplica inteligencia de negocios se necesita un  analista “experto” que sea capaz de tomar decisiones con las tendencias encontradas en el estudio, lo cual no se presenta en el artículo.  Faltan referencias de trabajos relacionados, pues solo se referencian  libros. Una revisión a trabajos relacionados habría sido muy útil en el sentido de estructurar mejor el artículo.  Existen metodologías para esquematizar el proceso ETL que habrían permitido mejorar este aspecto descrito en el artículo."
35,-2,El artículo presenta el proceso de construcción de un almacén de datos para implementar OLAP sobre datos de explotación de recursos marinos en las costas de Chile.  El problema está claramente delimitado y tiene aplicación práctica relevante para el país.  El trabajo presentado corresponde a un caso de uso muy completo y detalladamente documentado de técnicas bien conocidas de minería de datos.  El ABSTRACT debe ser editado para que represente una traducción apropiada y legible del RESUMEN.  No es evidente el aporte original del trabajo.  Las conclusiones originales del artículo dicen relación con el dominio de la aplicación (estadísticas de explotación de recursos marinos) y no con temas relevantes a la conferencia.  Debería completarse la información faltante en la bibliografía.
36,-2,"El artículo presenta el desarrollo de una solución al problema de analizar tendencias en el desembarco de especies marinas en el borde costero chileno, utilizando herramientas de inteligencia de negocios.  a) aspectos de forma  1. la versión en inglés del título y el resumen del artículo contiene errores gramaticales, de redacción, y de estilo.  2. Uso de mayúsculas: chile --> Chile servicio nacional de pesca --> Servicio Nacional de Pesca kettle --> Kettle tabla 1 --> Tabla 1 api --> API etc.  3. Figura 2 no es referenciada Esta figura muestra --> La Figura 10 muestra  4. parráfo despues de la Figura 1 esta escrito en 1 columna. debe ser en 2 columnas  5. formato no concuerda totalmente con el formato Infonor.  b) aspectos de fondo   1. El artículo no reporta resultados de investigación. Se trata de una aplicación de técnicas de BI para proveer soporte de análisis en línea de datos.  2. Es débil en cuanto a background de procesos y técnicas utilizados. Aunque se listan 12 referencias, solo se citan 2 o 3 de ellas en forma reiterada. No hay revisión de trabajos relacionados (casos de aplicaciones de BI.)  3. Dada la orientación del artículo, debe detallarse mucho más el uso (potencial) de los resultados. En este sentido, debe haber una mayor y mejor interpretación/evaluación por parte de los usuarios de los análisis de la información."
37,-1,"El presente paper realiza una categorización de formas de integrar reglas de negocio en un diseño utilizando el paradigma orientado a aspectos y propone una plantilla de documentación para reglas de negocio basado en dicha categorización.  El paper entrega información útil sobre el problema en particular, así como una categorización razonable de diferentes aspectos en este problema. Es un buen punto de partida para una investigación en esa línea.  Aunque la información entregada en el paper es de suma relevancia para una investigación en este tema, es insuficiente para aceptarlo como un trabajo completo y autocontenido. La razón es que el paper se enfoca en identificar problemas y proponer un artefacto (la plantilla) que debería resolver dichos problemas. Sin embargo no presenta evidencias de por qué esta plantilla es una buena alternativa para resolver dichos problemas. Para ello se requieren los elementos mencionados en el trabajo futuro, específicamente la especificación formal y la herramienta automática para crear plantillas y mapearlas a AOP.  Mi sugerencia es esperar a que estos elementos estén listos para completar este paper y enviarlo a una nueva conferencia."
38,2,"El trabajo presenta una alternativa viable para resolver el problema del cambio de las reglas de negocio.  Se puede mejorar agregando algo más de background al tema de aspectos, dado que se asume un conocimiento previo de este tema, por lo que el paper no es autocontenido."
39,0,"El trabajo presenta una metodología para abordar al complejidad de implementar reglas de negocios sin realizar cambios en la funcionalidad base de un sistema.  Propone una metodología clara basada en documentación mediante plantillas para manejar y analizar el impacto de realizar la implementación de una regla de negocio vía orientación al aspecto.  Las razones presentadas para indicar que el enfoque OA para encapsular la conexión entre las reglas de negocio y la funcionalidad base no es una tarea trivial, son generales y deberían ser abordadas con mayor profundidad.  No presenta evidencias formales de que la utilización de las plantillas propuestas resuelvan de forma concreta un problema.  Se sugiere presentar un problema resuelto por medio de la herramienta que se encuentra en desarrollo que maneje automáticamente las plantillas. En su defecto, demostrar la aplicación a un problema específico."
40,0,
41,2,"Es un artículo que presenta una diagnóstico interesante de las empresas de desarrollo de software de Chile. Incorporan una base estadística inicial que da formalidad al trabajo realizado, de manera específica para la determinación de la muestra base para el desarrollo de las encuestas. Sin embargo, los datos estadísticos de los resultados no hacen parte del trabajo presentado.  Presentación de resultados estadísticos que validen las conclusiones presentadas y los hallazgos encontrados, acerca del diagnóstico.  Se recomienda a los autores continuar en el trabajo a fin incorporar las bases estadísticas tendiente en las empresas del sector en otros países.  Otras recomendaciones:  Revisión exhaustiva del inglés y de forma particular para la presentación de artículo, debería revisarse de forma cuidadosa la traducción de este idioma. Revisar particularmente el título, donde hay un error en la primera palabra."
42,-1,"Se presenta el desarrollo de un prototipo para una herramienta de asignación automática de requisitos de software entre los desarrolladores. Esta herramienta puede ser muy útil para los equipos de desarrollo de software. Se trata de realizar un aporte mediante esta herramienta a  la calidad de los productos desarrollados.  No se explica cuál es la heurística utilizada para la asignación de requisitos a los programadores. No se presentan un estudio de las herramientas de gestión de requisitos existentes, en donde se demuestre que no existen herramientas alternativas a la presentada. Y en caso de existir alternativas, justificar por qué desarrollar una nueva. No se explica claramente las funcionalidades de la herramienta. No hay evidencia de la mejora del proceso al incluir esta herramienta, sólo se dice en las conclusiones que ""es perceptible el cambio en la calidad del proceso"" Las referencias bibliográficas utilizadas son en su mayoría páginas web, no se nota una revisión bibliográfica en bases de datos especializadas. Las figuras no se distinguen bien. Las referencias bibliográficas no cumplen el formato establecido. Debe redactar en tercera persona."
